@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
131,466068,1347,530632,1953,0.996333,0.997118,0.467611,0.997118,0.532389,0.636655,0.9967,1.00042,0.364017
132,466056,1359,530616,1969,0.996303,0.997093,0.467612,0.997093,0.532388,0.636651,0.996672,1.000422,0.36409
133,465997,1418,530532,2053,0.996145,0.996966,0.46762,0.996966,0.53238,0.636632,0.996529,1.000439,0.364092
134,465962,1453,530476,2109,0.99604,0.996891,0.467628,0.996891,0.532372,0.636624,0.996438,1.000455,0.364334
135,465926,1489,530399,2186,0.995895,0.996814,0.467645,0.996814,0.532355,0.636624,0.996325,1.000491,0.364767
136,465880,1535,530322,2263,0.995751,0.996716,0.467656,0.996716,0.532344,0.636615,0.996202,1.000516,0.364865
137,465877,1538,530317,2268,0.995742,0.99671,0.467657,0.99671,0.532343,0.636614,0.996194,1.000518,0.365079
138,465875,1540,530314,2271,0.995736,0.996705,0.467657,0.996705,0.532343,0.636613,0.996189,1.000518,0.365385
139,465863,1552,530308,2277,0.995725,0.99668,0.467654,0.99668,0.532346,0.636605,0.996171,1.000511,0.365854
140,465863,1552,530307,2278,0.995723,0.99668,0.467654,0.99668,0.532346,0.636605,0.99617,1.000512,0.366667
141,465857,1558,530302,2283,0.995713,0.996667,0.467653,0.996667,0.532347,0.636602,0.996159,1.00051,0.367347
142,465855,1560,530301,2284,0.995711,0.996662,0.467653,0.996662,0.532347,0.6366,0.996156,1.000508,0.367647
143,465852,1563,530300,2285,0.99571,0.996656,0.467652,0.996656,0.532348,0.636598,0.996152,1.000506,0.367925
144,465845,1570,530294,2291,0.995698,0.996641,0.467651,0.996641,0.532349,0.636594,0.996139,1.000504,0.368
145,465840,1575,530288,2297,0.995687,0.99663,0.467651,0.99663,0.532349,0.636592,0.996128,1.000504,0.368098
146,465819,1596,530246,2339,0.995608,0.996585,0.467659,0.996585,0.532341,0.636591,0.996065,1.000523,0.368272
147,465809,1606,530229,2356,0.995576,0.996564,0.467662,0.996564,0.532338,0.636589,0.996038,1.000528,0.368421
148,465794,1621,530209,2376,0.995539,0.996532,0.467663,0.996532,0.532337,0.636584,0.996003,1.000531,0.368557
149,465775,1640,530183,2402,0.99549,0.996491,0.467665,0.996491,0.532335,0.636577,0.995958,1.000536,0.368637
150,465727,1688,530103,2482,0.99534,0.996389,0.467677,0.996389,0.532323,0.636567,0.99583,1.000561,0.369427
151,465721,1694,530096,2489,0.995327,0.996376,0.467677,0.996376,0.532323,0.636565,0.995817,1.000561,0.369565
152,465721,1694,530092,2493,0.995319,0.996376,0.467679,0.996376,0.532321,0.636567,0.995813,1.000565,0.369697
153,465717,1698,530080,2505,0.995297,0.996367,0.467683,0.996367,0.532317,0.636568,0.995797,1.000573,0.369792
154,465702,1713,530050,2535,0.99524,0.996335,0.467689,0.996335,0.532311,0.636567,0.995752,1.000586,0.369863
155,465676,1739,530028,2557,0.995199,0.99628,0.467685,0.99628,0.532315,0.636552,0.995704,1.000578,0.370079
156,465670,1745,530022,2563,0.995188,0.996267,0.467685,0.996267,0.532315,0.636549,0.995692,1.000577,0.37013
157,465659,1756,530011,2574,0.995167,0.996243,0.467684,0.996243,0.532316,0.636544,0.99567,1.000576,0.37031
158,465616,1799,529934,2651,0.995022,0.996151,0.467697,0.996151,0.532303,0.636537,0.99555,1.000604,0.37037
159,465601,1814,529921,2664,0.994998,0.996119,0.467695,0.996119,0.532305,0.636529,0.995522,1.0006,0.37069
160,465597,1818,529914,2671,0.994985,0.996111,0.467696,0.996111,0.532304,0.636528,0.995511,1.000602,0.371429
161,465580,1835,529898,2687,0.994955,0.996074,0.467695,0.996074,0.532305,0.63652,0.995478,1.000599,0.371486
162,465557,1858,529857,2728,0.994878,0.996025,0.467702,0.996025,0.532298,0.636516,0.995414,1.000614,0.371795
163,465541,1874,529845,2740,0.994855,0.995991,0.467699,0.995991,0.532301,0.636506,0.995386,1.000608,0.371938
164,462865,4550,525403,7182,0.986515,0.990266,0.46836,0.990266,0.53164,0.635942,0.988268,1.002021,0.372002
165,460221,7194,521004,11581,0.978255,0.984609,0.469027,0.984609,0.530973,0.635384,0.981225,1.003449,0.372056
166,457579,9836,516599,15986,0.969984,0.978957,0.469708,0.978957,0.530292,0.634824,0.974178,1.004905,0.372093
167,457573,9842,516594,15991,0.969975,0.978944,0.469707,0.978944,0.530293,0.634821,0.974167,1.004903,0.372222
168,457564,9851,516582,16003,0.969952,0.978925,0.469708,0.978925,0.530292,0.634817,0.974146,1.004905,0.372436
169,457521,9894,516498,16087,0.969794,0.978833,0.469725,0.978833,0.530275,0.634814,0.974019,1.004942,0.372549
170,457504,9911,516465,16120,0.969733,0.978796,0.469732,0.978796,0.530268,0.634812,0.973969,1.004956,0.372552
171,454842,12573,511941,20644,0.961238,0.973101,0.47047,0.973101,0.52953,0.634281,0.966783,1.006535,0.372772
172,452247,15168,507492,25093,0.952885,0.967549,0.471219,0.967549,0.528781,0.633775,0.959739,1.008138,0.372881
173,452229,15186,507481,25104,0.952864,0.967511,0.471214,0.967511,0.528786,0.633762,0.95971,1.008128,0.373116
